Date/Time,Word Count,en,pt-BR
2023.11.02-21.03.47,132,132,0
2024.02.26-07.51.27,0,0,0
2024.02.26-07.55.51,5810,5810,0
2024.02.26-08.01.32,5808,5808,0
2024.02.26-08.07.37,5809,5809,0
2024.02.26-08.09.38,5806,5806,0
2024.02.26-08.23.33,5809,5809,0
2024.02.26-08.39.46,5526,5526,0
2024.02.26-09.11.26,5526,5526,1
2024.02.26-09.32.07,4224,4224,1
2024.04.28-21.19.13,3907,3907,1
2024.04.28-23.20.13,3907,3907,171
2024.04.29-00.27.38,3911,3911,171
2024.04.29-00.34.38,3912,3912,171
2024.04.29-00.55.46,3915,3915,171
2024.04.29-04.47.22,3855,3855,179
2024.04.29-20.59.28,3855,3855,2472
